cross_id,_id,river_definitions.is_api_v2,river_definitions.river_modified_date,river_definitions.river_time_created,river_definitions.scheduled_time,river_definitions.updated_by_name,river_definitions.river_type_title,river_definitions.river_name,river_definitions.river_status,river_definitions.subrivers_enabled,river_definitions.source.icon,river_definitions.source.name,river_definitions.source.size,river_definitions.river_insert_date,river_definitions.river_desc,river_definitions.river_time_updated,river_definitions.is_scheduled,river_definitions.river_type_id,river_definitions.group_id._id,river_definitions.group_id.name,river_definitions.river_type_icon_url,river_definitions.is_master_river,river_definitions.target.icon,river_definitions.target.name,river_definitions.target.size,river_definitions.target,river_definitions.source.title
61e57f6319694a225635326d,61e57f6319694a225635326d,False,2022-01-17T14:41:32.958000+00:00,2022-01-17T14:38:27.994000+00:00,,Idan Wenger,Source to Target,gs_priority_inventory_by_warehouse,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T14:38:27.994000+00:00,,2022-01-17T14:41:32.958000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e57e2919694a08c857a76f,61e57e2919694a08c857a76f,False,2022-01-17T14:37:00.808000+00:00,2022-01-17T14:33:13.532000+00:00,,Idan Wenger,Source to Target,gs_priority_storage_and_shipments_cost,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T14:33:13.532000+00:00,,2022-01-17T14:37:00.808000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e57ad019694a109246abd1,61e57ad019694a109246abd1,False,2022-01-17T14:29:38.088000+00:00,2022-01-17T14:18:56.352000+00:00,,Idan Wenger,Source to Target,gs_priority_node_sn_for_mac,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T14:18:56.352000+00:00,,2022-01-17T14:29:38.088000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e57c3e19694a0aad934e1f,61e57c3e19694a0aad934e1f,False,2022-01-17T14:29:20.198000+00:00,2022-01-17T14:25:02.176000+00:00,,Idan Wenger,Source to Target,gs_priority_remediation_forecast,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T14:25:02.176000+00:00,,2022-01-17T14:29:20.198000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e579aa19694a0aad934d8a,61e579aa19694a0aad934d8a,False,2022-01-17T14:18:34.467000+00:00,2022-01-17T14:14:02.565000+00:00,,Idan Wenger,Source to Target,gs_priority_sh_rt,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T14:14:02.565000+00:00,,2022-01-17T14:18:34.467000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e5781d19694a109246abb5,61e5781d19694a109246abb5,False,2022-01-17T14:13:42.778000+00:00,2022-01-17T14:07:25.892000+00:00,,Idan Wenger,Source to Target,gs_priority_daas_shipments,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T14:07:25.892000+00:00,,2022-01-17T14:13:42.778000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e575bf19694a0bf99dba1e,61e575bf19694a0bf99dba1e,False,2022-01-17T14:06:59.331000+00:00,2022-01-17T13:57:19.171000+00:00,,Idan Wenger,Source to Target,gs_priority_warehouse_inventory_level,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T13:57:19.171000+00:00,,2022-01-17T14:06:59.331000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e571ce19694a1846c102b8,61e571ce19694a1846c102b8,False,2022-01-17T13:52:15.842000+00:00,2022-01-17T13:40:30.241000+00:00,,Idan Wenger,Source to Target,gs_priority_sales_orders,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T13:40:30.241000+00:00,,2022-01-17T13:52:15.842000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e5736c19694a0aad934d48,61e5736c19694a0aad934d48,False,2022-01-17T13:51:58.340000+00:00,2022-01-17T13:47:24.840000+00:00,,Idan Wenger,Source to Target,gs_priority_backlog,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T13:47:24.840000+00:00,,2022-01-17T13:51:58.340000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e56f9819694a08c857a6d4,61e56f9819694a08c857a6d4,False,2022-01-17T13:37:22.058000+00:00,2022-01-17T13:31:04.509000+00:00,,Idan Wenger,Source to Target,gs_priority_inc_purchases_ytd,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T13:31:04.509000+00:00,,2022-01-17T13:37:22.058000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e56bba19694a0aad934d0e,61e56bba19694a0aad934d0e,False,2022-01-17T13:27:35.438000+00:00,2022-01-17T13:14:34.561000+00:00,,Idan Wenger,Source to Target,gs_priority_purchase_orders_ytd,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T13:14:34.561000+00:00,,2022-01-17T13:27:35.438000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61e5399319694a3519fa0db2,61e5399319694a3519fa0db2,False,2022-01-17T13:12:41.651000+00:00,2022-01-17T09:40:35.940000+00:00,,Idan Wenger,Source to Target,gs_priority_open_purchase_orders,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-17T09:40:35.940000+00:00,,2022-01-17T13:12:41.651000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61db623819694a3b8202431c,61db623819694a3b8202431c,False,2022-01-12T11:10:58.714000+00:00,2022-01-09T22:31:20.613000+00:00,,Nadav Dishon,Source to Target,ga_analyst_ticket_page_timing,active,,https://static-assets.console.rivery.io/google-analytics.png,Google Analytics,32.0,2022-01-09T22:31:20.613000+00:00,,2022-01-12T11:10:58.714000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61dc2bc319694a49c7062395,61dc2bc319694a49c7062395,False,2022-01-12T08:38:24.085000+00:00,2022-01-10T12:51:15.380000+00:00,,Nadav Dishon,Source to Target,gs_customer_list,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-01-10T12:51:15.380000+00:00,,2022-01-12T08:38:24.085000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61dae04b19694a048b6dcd58,61dae04b19694a048b6dcd58,False,2022-01-12T08:33:59.728000+00:00,2022-01-09T13:16:59.622000+00:00,,Nadav Dishon,Source to Target,mongo_integrations,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2022-01-09T13:16:59.622000+00:00,,2022-01-12T08:33:59.728000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61dae66c19694a7a8693a7be,61dae66c19694a7a8693a7be,False,2022-01-12T08:32:41.440000+00:00,2022-01-09T13:43:08.974000+00:00,,Nadav Dishon,Source to Target,mongo_visits,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2022-01-09T13:43:08.974000+00:00,,2022-01-12T08:32:41.440000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61dd8a3019694a49b18dd474,61dd8a3019694a49b18dd474,False,2022-01-12T08:30:31.865000+00:00,2022-01-11T13:46:24.706000+00:00,,Idan Wenger,Source to Target,mongo_inbox_assignments,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2022-01-11T13:46:24.706000+00:00,,2022-01-12T08:30:31.865000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61dae7b419694a7a8693a7e2,61dae7b419694a7a8693a7e2,False,2022-01-12T08:29:00.381000+00:00,2022-01-09T13:48:36.910000+00:00,,Nadav Dishon,Source to Target,mongo_va_feedback,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2022-01-09T13:48:36.910000+00:00,,2022-01-12T08:29:00.381000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61d40d1c19694a0461c4dacc,61d40d1c19694a0461c4dacc,False,2022-01-12T08:27:53.016000+00:00,2022-01-04T09:02:20.545000+00:00,,Nadav Dishon,Source to Target,mongo_devices,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2022-01-04T09:02:20.545000+00:00,,2022-01-12T08:27:53.016000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61dd93c619694a534fa51bd0,61dd93c619694a534fa51bd0,False,2022-01-12T08:24:46.405000+00:00,2022-01-11T14:27:18.822000+00:00,,Idan Wenger,Logic River,dwh_fact_va_feedback,active,,https://static-assets.console.rivery.io/logic.png ,Logic,32.0,2022-01-11T14:27:18.822000+00:00,,2022-01-12T08:24:46.405000+00:00,False,logic,6107eb376ec0d63428ba5ee4,MRR to DWH,https://static-assets.console.rivery.io/logic.png,False,,,,,
